                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.9885,                0.66899,                 1.0771,                0.93905,                0.93938,                0.97724,                0.77798,                0.77792,                0.47258,                0.94673,               0.003565,               0.003565,               0.003565
                     67,                0.98155,                0.67026,                 1.0767,                0.93959,                0.93948,                0.97737,                 0.7788,                0.77683,                0.47158,                0.94586,               0.003466,               0.003466,               0.003466
                     68,                0.97942,                0.66444,                 1.0718,                0.93901,                0.94038,                0.97759,                0.77912,                0.77615,                0.46976,                0.94533,               0.003367,               0.003367,               0.003367
                     69,                0.97151,                 0.6589,                 1.0719,                0.94101,                0.94038,                0.97801,                0.77995,                0.77497,                0.46806,                0.94476,               0.003268,               0.003268,               0.003268
                     70,                0.96739,                0.65462,                 1.0687,                0.93914,                0.94093,                0.97882,                0.78089,                0.77412,                0.46646,                0.94423,               0.003169,               0.003169,               0.003169
                     71,                0.96347,                0.65004,                 1.0637,                0.93935,                0.94083,                0.97909,                0.78203,                0.77262,                0.46545,                0.94325,                0.00307,                0.00307,                0.00307
                     72,                0.96276,                0.64579,                 1.0619,                0.93879,                0.94213,                0.97911,                0.78279,                0.77162,                0.46379,                0.94251,               0.002971,               0.002971,               0.002971
                     73,                0.95327,                0.64007,                  1.061,                 0.9385,                0.94264,                0.97936,                0.78346,                0.77075,                 0.4621,                0.94192,               0.002872,               0.002872,               0.002872
                     74,                0.95579,                0.63694,                 1.0613,                0.93874,                0.94399,                0.97959,                0.78448,                0.76983,                0.46106,                0.94127,               0.002773,               0.002773,               0.002773
                     75,                0.93911,                0.62489,                 1.0532,                0.93661,                0.94354,                0.97922,                0.78499,                0.76875,                0.45971,                0.94075,               0.002674,               0.002674,               0.002674
                     76,                0.93606,                0.62535,                 1.0526,                0.93769,                0.94444,                0.97965,                0.78586,                0.76824,                0.45829,                0.94026,               0.002575,               0.002575,               0.002575
                     77,                0.93555,                 0.6196,                 1.0485,                0.93835,                0.94535,                0.98006,                0.78658,                0.76714,                0.45696,                0.93974,               0.002476,               0.002476,               0.002476
                     78,                0.92745,                0.61751,                  1.047,                0.93861,                0.94444,                0.98021,                 0.7874,                0.76599,                0.45512,                 0.9391,               0.002377,               0.002377,               0.002377
                     79,                0.91744,                0.60625,                 1.0433,                0.93935,                0.94437,                0.98014,                0.78765,                0.76491,                0.45372,                0.93836,               0.002278,               0.002278,               0.002278
                     80,                0.91593,                0.60761,                 1.0446,                0.93889,                 0.9449,                0.98014,                0.78796,                0.76363,                0.45242,                0.93761,               0.002179,               0.002179,               0.002179
                     81,                0.91609,                0.60161,                 1.0413,                0.93891,                0.94535,                0.98051,                0.78863,                0.76292,                0.45121,                0.93695,                0.00208,                0.00208,                0.00208
                     82,                0.90545,                0.59392,                  1.036,                0.93935,                0.94441,                0.98048,                0.78995,                0.76158,                0.44996,                0.93625,               0.001981,               0.001981,               0.001981
                     83,                  0.899,                0.58574,                 1.0318,                0.93937,                 0.9448,                0.98064,                0.79006,                0.76082,                0.44842,                0.93562,               0.001882,               0.001882,               0.001882
                     84,                0.89736,                 0.5869,                 1.0342,                0.93947,                 0.9458,                0.98081,                0.79152,                0.75974,                0.44684,                0.93495,               0.001783,               0.001783,               0.001783
                     85,                0.88958,                0.57829,                 1.0295,                0.93999,                 0.9481,                0.98125,                0.79287,                0.75857,                0.44571,                0.93432,               0.001684,               0.001684,               0.001684
                     86,                0.88535,                0.57581,                 1.0269,                0.94124,                0.94775,                0.98146,                0.79338,                0.75753,                0.44433,                0.93374,               0.001585,               0.001585,               0.001585
                     87,                0.87826,                0.56585,                 1.0226,                0.94092,                0.94806,                0.98173,                0.79449,                0.75673,                0.44352,                0.93321,               0.001486,               0.001486,               0.001486
                     88,                0.87521,                0.56457,                 1.0214,                0.94555,                0.94354,                0.98158,                0.79558,                0.75563,                0.44164,                0.93264,               0.001387,               0.001387,               0.001387
                     89,                0.87029,                0.56183,                 1.0193,                0.94704,                0.94499,                0.98211,                0.79639,                0.75412,                0.44035,                 0.9318,               0.001288,               0.001288,               0.001288
                     90,                0.86233,                0.55133,                 1.0159,                0.94797,                0.94629,                0.98241,                 0.7974,                0.75294,                0.43909,                0.93123,               0.001189,               0.001189,               0.001189
                     91,                0.80278,                0.42735,                0.96732,                0.94788,                 0.9449,                0.98252,                0.79804,                0.75224,                0.43787,                0.93089,                0.00109,                0.00109,                0.00109
                     92,                 0.7873,                0.41815,                0.95856,                 0.9462,                0.94537,                0.98262,                0.79868,                0.75092,                0.43636,                0.93035,               0.000991,               0.000991,               0.000991
                     93,                 0.7785,                0.41407,                0.95819,                0.94662,                0.94535,                0.98257,                 0.7991,                0.74956,                0.43473,                 0.9298,               0.000892,               0.000892,               0.000892
                     94,                 0.7656,                0.40251,                0.95136,                0.94356,                0.94896,                0.98289,                0.80012,                0.74843,                0.43316,                0.92919,               0.000793,               0.000793,               0.000793
                     95,                 0.7526,                0.39566,                0.94352,                0.94418,                0.94896,                0.98293,                0.80119,                0.74724,                0.43206,                0.92848,               0.000694,               0.000694,               0.000694
                     96,                0.74893,                0.39297,                0.94267,                0.94327,                0.95122,                0.98316,                0.80177,                  0.746,                0.43074,                0.92783,               0.000595,               0.000595,               0.000595
                     97,                0.73802,                0.38627,                0.93935,                0.94867,                0.94806,                0.98309,                0.80252,                0.74441,                0.42971,                0.92698,               0.000496,               0.000496,               0.000496
                     98,                0.73439,                0.38157,                0.93625,                0.94805,                0.94784,                0.98296,                0.80326,                0.74271,                 0.4291,                0.92594,               0.000397,               0.000397,               0.000397
                     99,                0.73041,                0.37916,                0.93484,                0.94779,                 0.9467,                0.98292,                0.80389,                 0.7418,                0.42775,                0.92516,               0.000298,               0.000298,               0.000298
                    100,                0.72428,                0.37606,                0.93181,                0.94824,                0.94715,                0.98309,                0.80478,                0.74038,                0.42662,                0.92438,               0.000199,               0.000199,               0.000199
